1000, 0.05323, 0.005
2000, 0.03944, 0.005
3000, 0.03347, 0.005
4000, 0.03016, 0.005
5000, 0.02612, 0.005
6000, 0.02349, 0.005
7000, 0.02209, 0.005
8000, 0.02045, 0.005
9000, 0.01841, 0.005
10000, 0.01743, 0.005
11000, 0.02362, 0.02
12000, 0.01950, 0.02
13000, 0.01737, 0.02
14000, 0.01585, 0.02
15000, 0.01470, 0.02
16000, 0.01343, 0.02
17000, 0.01309, 0.02
18000, 0.01246, 0.02
19000, 0.01161, 0.02
20000, 0.01126, 0.02
21000, 0.01074, 0.02
22000, 0.01051, 0.02
23000, 0.01002, 0.02
24000, 0.01010, 0.02
25000, 0.00994, 0.02
26000, 0.00955, 0.02
27000, 0.00947, 0.02
28000, 0.00928, 0.02
29000, 0.00929, 0.02
30000, 0.00886, 0.02
